timestamp,plant,depot_id,batch_id,sku,quantity_produced,line_id,operator_id,stacked_before_robot,squashed,torn,undersized_small,valleys,loose_packs,pale_underbaked
2025-01-25 23:11:38,Shepperton,Harare_Willowvale,BATCH_16679,Whole Wheat,497,Line5,OP_EFFIE,1,4,2,7,6,13,3
2025-03-13 06:12:18,Shepperton,Harare_Willowvale,BATCH_13290,Family Loaf,1845,Line4,OP_KUDA,6,0,5,4,8,6,0
2025-04-15 18:39:32,Shepperton,Harare_Willowvale,BATCH_16558,High Energy White,221,Line5,OP_KUDA,4,4,1,4,8,11,0
2025-03-01 11:12:36,Shepperton,Harare_Southerton,BATCH_17926,Seed Loaf,1436,Line1,OP_ANNE,2,0,3,4,8,8,2
2025-07-16 02:43:27,Shepperton,Gweru_Branch,BATCH_15664,High Energy Brown,1507,Line5,OP_MOYO,7,4,4,8,3,2,4
2025-02-11 14:17:04,Shepperton,Gweru_Branch,BATCH_16061,Wholegrain Brown,1409,Line1,OP_JOHN,8,3,0,11,0,5,1
2025-05-12 19:43:55,Shepperton,Harare_Willowvale,BATCH_16613,High Energy Brown,1930,Line5,OP_ANNE,4,2,5,6,6,1,3
2025-01-29 16:53:37,Shepperton,Chitungwiza_Depot,BATCH_13702,High Energy White,1665,Line3,OP_JOHN,4,5,5,11,0,1,5
2025-04-13 01:12:44,Shepperton,Bulawayo_Branch,BATCH_14914,Whole Wheat,1981,Line3,OP_JOHN,5,7,4,6,2,2,2
2025-04-12 16:09:59,Shepperton,Gweru_Branch,BATCH_21335,Whole Wheat,304,Line2,OP_EFFIE,6,3,1,4,2,3,5
2025-03-08 11:30:09,Shepperton,Harare_Southerton,BATCH_24025,Seed Loaf,596,Line3,OP_EFFIE,5,3,4,7,5,1,4
2025-05-03 19:46:06,Shepperton,Chitungwiza_Depot,BATCH_21134,Family Loaf,1873,Line1,,2,0,5,10,2,8,4
2025-04-03 18:34:08,Shepperton,Gweru_Branch,BATCH_18156,Seed Loaf,1468,Line4,OP_KUDA,8,3,4,6,5,1,2
2025-03-21 19:24:41,Shepperton,Chitungwiza_Depot,BATCH_24072,Wholegrain Brown,1623,Line4,OP_MOYO,1,3,1,3,8,5,0
2025-02-15 20:27:56,Shepperton,Chitungwiza_Depot,BATCH_12406,Soft White,596,Line5,OP_EFFIE,8,2,0,3,7,5,1
2025-02-06 09:33:07,Shepperton,Mutare_Branch,BATCH_16076,Family Loaf,1961,Line1,OP_JOHN,5,2,0,4,4,6,5
2025-04-29 02:30:07,Shepperton,Harare_Southerton,BATCH_18327,High Energy Brown,1767,Line2,OP_TAPIWA,6,6,3,3,3,12,1
2025-04-05 21:01:35,Shepperton,Gweru_Branch,BATCH_11261,High Energy Brown,857,Line4,OP_JOHN,9,6,0,8,0,11,2
2025-05-25 12:13:01,Shepperton,Chitungwiza_Depot,BATCH_24419,Family Loaf,373,Line4,OP_KUDA,8,1,5,7,4,2,2
2025-03-05 06:52:57,Shepperton,Gweru_Branch,BATCH_20604,Soft White,1502,Line5,OP_TAPIWA,9,7,2,1,9,3,1
2025-07-29 14:26:53,Shepperton,Bulawayo_Branch,BATCH_10476,Soft White,1742,Line3,OP_JOHN,0,4,5,0,7,2,2
2025-05-17 10:57:56,Shepperton,Harare_Willowvale,BATCH_19191,Whole Wheat,202,Line2,OP_KUDA,6,1,2,9,5,0,2
2025-01-15 21:24:03,Shepperton,Gweru_Branch,BATCH_10487,Wholegrain Brown,1715,Line5,OP_KUDA,0,5,0,7,6,11,3
2025-02-21 16:37:51,Shepperton,Bulawayo_Branch,BATCH_10379,Family Loaf,582,Line1,OP_EFFIE,9,2,5,1,0,3,1
2025-05-07 23:10:51,Shepperton,Bulawayo_Branch,BATCH_20959,Soft White,893,Line1,OP_ANNE,8,4,1,9,2,5,5
2025-01-11 02:05:35,Shepperton,Bulawayo_Branch,BATCH_13860,High Energy Brown,1605,Line2,OP_MOYO,9,7,2,5,1,6,4
2025-04-04 09:06:27,Shepperton,Mutare_Branch,BATCH_11323,Soft White,1980,Line1,OP_TAPIWA,4,6,4,4,5,10,2
2025-01-29 12:38:42,Shepperton,Masvingo_Branch,BATCH_12906,Seed Loaf,1358,Line4,OP_MOYO,2,7,3,6,7,0,4
2025-03-26 07:43:07,Shepperton,Bulawayo_Branch,BATCH_15202,High Energy White,1252,Line2,OP_ANNE,4,0,1,4,7,6,4
2025-04-01 00:45:48,Shepperton,Gweru_Branch,BATCH_11491,Soft White,1082,Line1,OP_EFFIE,2,5,4,5,3,7,0
2025-02-07 17:56:05,Shepperton,Chitungwiza_Depot,BATCH_23499,Seed Loaf,1737,Line1,OP_TAPIWA,4,4,3,3,3,8,5
2025-03-30 15:47:44,Shepperton,Chitungwiza_Depot,BATCH_17336,Whole Wheat,887,Line5,OP_ANNE,8,2,4,11,7,6,2
2025-01-23 16:59:37,Shepperton,Harare_Southerton,BATCH_11655,Seed Loaf,666,Line2,OP_TAPIWA,3,0,4,5,8,4,2
2025-03-01 05:55:22,Shepperton,Chitungwiza_Depot,BATCH_10542,High Energy Brown,1575,Line5,OP_JOHN,2,6,2,2,8,1,4
2025-07-14 15:16:09,Shepperton,Gweru_Branch,BATCH_10149,Seed Loaf,1747,Line4,OP_JOHN,5,4,3,11,5,3,2
2025-05-15 15:23:52,Shepperton,Harare_Willowvale,BATCH_12405,High Energy White,904,Line1,OP_TAPIWA,7,0,4,11,7,5,2
2025-03-05 00:52:22,Shepperton,Masvingo_Branch,BATCH_16706,Seed Loaf,1646,Line5,OP_MOYO,0,1,3,3,1,13,0
2025-06-02 14:33:20,Shepperton,Masvingo_Branch,BATCH_21342,Family Loaf,999,Line1,OP_KUDA,6,7,2,2,8,0,5
2025-06-04 17:32:30,Shepperton,Harare_Southerton,BATCH_17856,Whole Wheat,1410,Line3,OP_ANNE,5,7,5,5,3,5,4
2025-07-14 13:18:45,Shepperton,Mutare_Branch,BATCH_22174,Wholegrain Brown,1069,Line1,OP_JOHN,5,7,0,0,8,4,4
2025-01-25 05:08:21,Shepperton,Mutare_Branch,BATCH_12231,High Energy Brown,1137,Line4,OP_KUDA,9,0,0,11,9,3,1
2025-03-17 18:56:56,Shepperton,Gweru_Branch,BATCH_21217,Family Loaf,548,Line3,OP_JOHN,1,0,2,5,6,1,4
2025-01-25 14:33:48,Shepperton,Masvingo_Branch,BATCH_17472,Whole Wheat,315,Line1,OP_ANNE,7,4,4,6,2,4,3
2025-07-23 00:49:24,Shepperton,Harare_Willowvale,BATCH_20186,High Energy Brown,647,Line2,OP_ANNE,0,0,3,2,3,1,4
2025-01-21 10:56:53,Shepperton,Bulawayo_Branch,BATCH_14429,High Energy Brown,1896,Line3,OP_ANNE,7,6,2,6,8,13,2
2025-07-06 11:40:40,Shepperton,Bulawayo_Branch,BATCH_20542,Wholegrain Brown,1336,Line2,OP_EFFIE,3,6,5,0,2,5,2
2025-05-15 06:10:16,Shepperton,Harare_Southerton,BATCH_17070,Seed Loaf,1749,Line1,OP_EFFIE,8,2,3,9,7,10,3
2025-06-20 08:18:44,Shepperton,Chitungwiza_Depot,BATCH_15547,Family Loaf,444,Line3,OP_EFFIE,8,5,0,6,5,8,0
2025-06-11 05:57:56,Shepperton,Harare_Southerton,BATCH_20360,High Energy White,1684,Line5,OP_EFFIE,3,1,0,5,0,8,1
2025-06-28 00:43:57,Shepperton,Harare_Willowvale,BATCH_23517,Whole Wheat,416,Line2,OP_MOYO,7,2,3,1,4,2,1
2025-03-28 01:07:42,Shepperton,Harare_Willowvale,BATCH_22917,Family Loaf,1109,Line2,OP_MOYO,5,5,4,11,8,9,2
2025-04-06 09:41:49,Shepperton,Harare_Southerton,BATCH_21275,Seed Loaf,1575,Line3,OP_EFFIE,3,0,2,0,0,4,4
2025-07-20 20:08:14,Shepperton,Masvingo_Branch,BATCH_10566,High Energy White,1819,Line1,OP_MOYO,8,2,2,6,9,4,2
2025-06-28 13:27:06,Shepperton,Gweru_Branch,BATCH_19417,Soft White,1468,Line4,OP_ANNE,6,6,0,5,9,10,1
2025-02-28 01:40:26,Shepperton,Chitungwiza_Depot,BATCH_17348,Family Loaf,1938,Line5,OP_JOHN,5,1,1,9,3,5,5
2025-04-11 10:27:29,Shepperton,Harare_Southerton,BATCH_24444,Whole Wheat,729,Line5,OP_ANNE,3,2,4,3,3,11,4
2025-04-05 17:27:57,Shepperton,Gweru_Branch,BATCH_21102,High Energy White,679,Line3,OP_JOHN,0,4,3,4,9,9,5
2025-04-02 03:04:51,Shepperton,Chitungwiza_Depot,BATCH_13111,Soft White,1458,Line4,OP_KUDA,4,1,5,6,1,9,1
2025-06-11 06:03:14,Shepperton,Harare_Southerton,BATCH_18382,Seed Loaf,943,Line2,OP_TAPIWA,0,1,1,7,9,6,5
2025-06-03 16:05:11,Shepperton,Mutare_Branch,BATCH_21347,High Energy White,750,Line1,OP_ANNE,3,4,3,0,4,1,2
2025-01-25 00:44:19,Shepperton,Harare_Willowvale,BATCH_15186,Whole Wheat,387,Line3,OP_ANNE,0,7,3,0,9,7,0
2025-03-14 03:18:59,Shepperton,Harare_Willowvale,BATCH_11087,Seed Loaf,1117,Line3,OP_TAPIWA,9,3,5,2,7,11,4
2025-04-04 12:35:52,Shepperton,Bulawayo_Branch,BATCH_13193,High Energy Brown,1481,Line3,OP_TAPIWA,3,0,2,1,5,3,4
2025-07-26 11:59:43,Shepperton,Mutare_Branch,BATCH_22331,Whole Wheat,849,Line2,OP_TAPIWA,8,6,1,10,9,7,4
2025-01-06 08:48:43,Shepperton,Harare_Southerton,BATCH_19396,Whole Wheat,1959,Line4,OP_JOHN,0,4,2,6,2,5,4
