retailer_id,return_count,total_qty_returned,mean_qty
STORE_086,88,5936,67.45454545454545
STORE_092,80,5508,68.85
STORE_005,88,5378,61.11363636363637
STORE_063,80,5361,67.0125
STORE_168,77,5336,69.2987012987013
STORE_113,78,5326,68.28205128205128
STORE_120,93,5275,56.72043010752688
STORE_173,84,5052,60.142857142857146
STORE_022,77,5034,65.37662337662337
STORE_130,85,4955,58.294117647058826
STORE_073,70,4913,70.18571428571428
STORE_100,76,4881,64.22368421052632
STORE_149,80,4870,60.875
STORE_143,78,4836,62.0
STORE_170,83,4786,57.66265060240964
STORE_009,78,4782,61.30769230769231
STORE_067,78,4756,60.97435897435897
STORE_118,72,4748,65.94444444444444
STORE_079,71,4733,66.66197183098592
STORE_082,71,4696,66.14084507042253
STORE_185,75,4671,62.28
STORE_066,76,4664,61.36842105263158
STORE_090,75,4664,62.18666666666667
STORE_166,70,4656,66.51428571428572
STORE_045,81,4656,57.48148148148148
STORE_096,59,4638,78.61016949152543
STORE_153,71,4635,65.28169014084507
STORE_032,78,4614,59.15384615384615
STORE_019,78,4599,58.96153846153846
STORE_148,66,4591,69.56060606060606
STORE_184,72,4552,63.22222222222222
STORE_011,73,4541,62.205479452054796
STORE_043,72,4533,62.958333333333336
STORE_161,73,4501,61.657534246575345
STORE_144,74,4486,60.62162162162162
STORE_061,74,4479,60.527027027027025
STORE_048,66,4470,67.72727272727273
STORE_121,81,4453,54.97530864197531
STORE_036,73,4447,60.917808219178085
STORE_051,71,4439,62.521126760563384
STORE_137,71,4426,62.33802816901409
STORE_059,67,4415,65.8955223880597
STORE_109,71,4411,62.12676056338028
STORE_186,77,4374,56.8051948051948
STORE_101,73,4366,59.80821917808219
STORE_157,78,4364,55.94871794871795
STORE_047,68,4363,64.16176470588235
STORE_179,66,4329,65.5909090909091
STORE_089,67,4317,64.43283582089552
STORE_044,67,4310,64.32835820895522
STORE_155,65,4293,66.04615384615384
STORE_080,77,4290,55.714285714285715
STORE_065,64,4283,66.921875
STORE_069,77,4282,55.61038961038961
STORE_146,65,4276,65.78461538461538
STORE_002,67,4273,63.776119402985074
STORE_167,69,4263,61.78260869565217
STORE_183,71,4261,60.014084507042256
STORE_038,68,4251,62.51470588235294
STORE_049,73,4250,58.21917808219178
STORE_162,67,4246,63.37313432835821
STORE_074,69,4244,61.507246376811594
STORE_132,71,4240,59.71830985915493
STORE_154,69,4233,61.34782608695652
STORE_177,73,4230,57.945205479452056
STORE_104,71,4218,59.40845070422535
STORE_087,65,4217,64.87692307692308
STORE_068,69,4208,60.98550724637681
STORE_156,74,4183,56.527027027027025
STORE_055,70,4181,59.72857142857143
STORE_023,69,4170,60.43478260869565
STORE_126,69,4166,60.3768115942029
STORE_020,70,4165,59.5
STORE_021,78,4159,53.32051282051282
STORE_133,78,4146,53.15384615384615
STORE_189,65,4132,63.56923076923077
STORE_164,58,4129,71.1896551724138
STORE_131,73,4116,56.38356164383562
STORE_142,67,4116,61.43283582089552
STORE_129,67,4105,61.26865671641791
STORE_192,66,4067,61.621212121212125
STORE_110,67,4067,60.701492537313435
STORE_116,69,4058,58.81159420289855
STORE_140,68,4054,59.61764705882353
STORE_028,66,4053,61.40909090909091
STORE_076,63,4049,64.26984126984127
STORE_083,60,4046,67.43333333333334
STORE_060,57,4042,70.91228070175438
STORE_180,61,4031,66.08196721311475
STORE_105,63,4031,63.98412698412698
STORE_054,66,4030,61.06060606060606
STORE_134,71,4023,56.66197183098591
STORE_102,69,4021,58.27536231884058
STORE_115,60,4018,66.96666666666667
STORE_112,59,3991,67.64406779661017
STORE_123,67,3975,59.32835820895522
STORE_119,62,3973,64.08064516129032
STORE_040,75,3973,52.973333333333336
STORE_139,68,3968,58.35294117647059
STORE_103,70,3968,56.68571428571428
STORE_070,65,3964,60.98461538461538
STORE_107,65,3960,60.92307692307692
STORE_124,68,3950,58.088235294117645
STORE_160,64,3949,61.703125
STORE_034,62,3943,63.596774193548384
STORE_084,63,3926,62.317460317460316
STORE_091,64,3922,61.28125
STORE_046,59,3911,66.28813559322033
STORE_007,74,3910,52.83783783783784
STORE_039,64,3899,60.921875
STORE_163,62,3895,62.82258064516129
STORE_195,69,3893,56.42028985507246
STORE_099,57,3889,68.2280701754386
STORE_006,69,3887,56.333333333333336
STORE_197,60,3885,64.75
STORE_010,60,3880,64.66666666666667
STORE_095,69,3856,55.88405797101449
STORE_151,67,3846,57.40298507462686
STORE_111,63,3841,60.96825396825397
STORE_025,66,3840,58.18181818181818
STORE_178,65,3828,58.89230769230769
STORE_108,62,3823,61.66129032258065
STORE_064,65,3814,58.676923076923075
STORE_122,63,3801,60.333333333333336
STORE_030,74,3782,51.108108108108105
STORE_013,65,3772,58.03076923076923
STORE_150,64,3767,58.859375
STORE_165,61,3757,61.59016393442623
STORE_136,60,3756,62.6
STORE_058,59,3749,63.54237288135593
STORE_125,66,3744,56.72727272727273
STORE_056,57,3738,65.57894736842105
STORE_190,62,3738,60.29032258064516
STORE_181,58,3736,64.41379310344827
STORE_138,63,3734,59.26984126984127
STORE_199,70,3731,53.3
STORE_171,62,3725,60.08064516129032
STORE_041,64,3712,58.0
STORE_003,58,3711,63.98275862068966
STORE_001,60,3696,61.6
STORE_147,69,3690,53.47826086956522
STORE_141,68,3675,54.044117647058826
STORE_088,63,3637,57.73015873015873
STORE_094,59,3635,61.610169491525426
STORE_117,57,3635,63.771929824561404
STORE_081,64,3634,56.78125
STORE_194,63,3629,57.6031746031746
STORE_052,59,3623,61.40677966101695
STORE_078,62,3603,58.11290322580645
STORE_077,62,3591,57.91935483870968
STORE_024,61,3591,58.868852459016395
STORE_172,67,3582,53.46268656716418
STORE_035,63,3580,56.82539682539682
STORE_106,61,3566,58.459016393442624
STORE_071,54,3535,65.46296296296296
STORE_085,63,3516,55.80952380952381
STORE_193,56,3510,62.67857142857143
STORE_033,61,3505,57.459016393442624
STORE_062,60,3505,58.416666666666664
STORE_188,58,3484,60.06896551724138
STORE_072,56,3476,62.07142857142857
STORE_127,60,3476,57.93333333333333
STORE_014,57,3475,60.96491228070175
STORE_097,63,3451,54.77777777777778
STORE_037,63,3444,54.666666666666664
STORE_176,49,3427,69.93877551020408
STORE_004,56,3380,60.357142857142854
STORE_174,63,3352,53.20634920634921
STORE_191,59,3349,56.76271186440678
STORE_029,55,3295,59.90909090909091
STORE_018,52,3295,63.36538461538461
STORE_042,52,3285,63.17307692307692
STORE_152,53,3280,61.886792452830186
STORE_075,59,3280,55.59322033898305
STORE_093,55,3267,59.4
STORE_008,59,3252,55.11864406779661
STORE_182,59,3218,54.54237288135593
