batch_id,total_checks,passed,failed,sku,timestamp,batch_status,fail_rate_%
BATCH_13998,4,0,4,Soft White,2025-02-08 02:48:51,FAILED,100.0
BATCH_12306,4,0,4,Wholegrain Brown,2025-06-28 01:39:10,FAILED,100.0
BATCH_12717,4,0,4,Family Loaf,2025-01-26 09:03:34,FAILED,100.0
BATCH_16212,4,0,4,High Energy White,2025-05-05 10:24:28,FAILED,100.0
BATCH_12834,3,0,3,High Energy White,2025-02-05 17:16:16,FAILED,100.0
BATCH_12354,3,0,3,Soft White,2025-01-02 16:05:56,FAILED,100.0
BATCH_13349,3,0,3,High Energy Brown,2025-02-01 08:57:06,FAILED,100.0
BATCH_13702,3,0,3,Seed Loaf,2025-03-16 09:42:20,FAILED,100.0
BATCH_17303,3,0,3,Whole Wheat,2025-03-22 05:22:24,FAILED,100.0
BATCH_14078,3,0,3,High Energy White,2025-05-06 08:51:30,FAILED,100.0
BATCH_14104,3,0,3,High Energy White,2025-07-20 03:47:05,FAILED,100.0
BATCH_13930,3,0,3,Soft White,2025-02-19 06:35:41,FAILED,100.0
BATCH_12557,3,0,3,Wholegrain Brown,2025-05-22 15:15:01,FAILED,100.0
BATCH_13631,3,0,3,Wholegrain Brown,2025-05-31 23:48:17,FAILED,100.0
BATCH_12783,3,0,3,High Energy Brown,2025-04-26 16:02:06,FAILED,100.0
BATCH_13776,3,0,3,Wholegrain Brown,2025-05-07 14:52:02,FAILED,100.0
BATCH_12712,3,0,3,Seed Loaf,2025-05-31 15:10:46,FAILED,100.0
BATCH_13600,3,0,3,Wholegrain Brown,2025-06-11 04:23:08,FAILED,100.0
BATCH_12713,3,0,3,Soft White,2025-04-24 13:06:44,FAILED,100.0
BATCH_17444,3,0,3,High Energy White,2025-05-11 09:32:34,FAILED,100.0
BATCH_13463,3,0,3,High Energy Brown,2025-05-27 18:42:10,FAILED,100.0
BATCH_13464,3,0,3,Family Loaf,2025-03-26 02:10:06,FAILED,100.0
BATCH_17488,3,0,3,Family Loaf,2025-03-18 07:21:03,FAILED,100.0
BATCH_12015,3,0,3,Family Loaf,2025-01-15 14:45:52,FAILED,100.0
BATCH_13973,3,0,3,Wholegrain Brown,2025-01-06 03:02:19,FAILED,100.0
BATCH_13145,3,0,3,Wholegrain Brown,2025-05-13 14:38:21,FAILED,100.0
